alg;func;bit;time
sha256;Hash value computing;256;3.147125244140625e-05
sha256;Hash value computing;256;1.8835067749023438e-05
sha256;Hash value computing;256;3.2901763916015625e-05
sha256;Hash value computing;256;2.3126602172851562e-05
ecdsa;Key pair generation;256;0.07686066627502441
ecdsa;Key pair generation;256;0.0740957260131836
ecdsa;Signing message;256;0.10261273384094238
ecdsa;Verifying signature;256;0.08389830589294434
ecdsa;Key pair generation;256;0.08006739616394043
ecdsa;Key pair generation;256;0.07628417015075684
ecdsa;Signing message;256;0.1108095645904541
ecdsa;Verifying signature;256;0.08129167556762695
ecdsa;Key pair generation;256;0.07874250411987305
ecdsa;Key pair generation;256;0.08535909652709961
ecdsa;Signing message;256;0.10845136642456055
ecdsa;Verifying signature;256;0.09525322914123535
ecdsa;Key pair generation;256;0.07573437690734863
ecdsa;Key pair generation;256;0.07790327072143555
ecdsa;Signing message;256;0.10648512840270996
ecdsa;Verifying signature;256;0.07990050315856934
ecdsa;Key pair generation;256;0.07502341270446777
ecdsa;Key pair generation;256;0.07912206649780273
ecdsa;Signing message;256;0.10865116119384766
ecdsa;Verifying signature;256;0.07850408554077148
ecdsa;Key pair generation;256;0.07613229751586914
ecdsa;Key pair generation;256;0.07719302177429199
ecdsa;Signing message;256;0.10165238380432129
ecdsa;Verifying signature;256;0.07757163047790527
ecdsa;Key pair generation;256;0.07828927040100098
ecdsa;Key pair generation;256;0.07906222343444824
ecdsa;Signing message;256;0.10747551918029785
ecdsa;Verifying signature;256;0.08296370506286621
ecdsa;Key pair generation;256;0.08326077461242676
ecdsa;Key pair generation;256;0.07498359680175781
ecdsa;Signing message;256;0.1027672290802002
ecdsa;Verifying signature;256;0.07754683494567871
ecdsa;Key pair generation;256;0.07108759880065918
ecdsa;Key pair generation;256;0.07254171371459961
ecdsa;Signing message;256;0.09819960594177246
ecdsa;Verifying signature;256;0.07494235038757324
ecdsa;Key pair generation;256;0.0715641975402832
ecdsa;Key pair generation;256;0.07088708877563477
ecdsa;Signing message;256;0.09571218490600586
ecdsa;Verifying signature;256;0.07376670837402344
ecdsa;Key pair generation;256;0.07232165336608887
ecdsa;Key pair generation;256;0.0761117935180664
ecdsa;Signing message;256;0.10200262069702148
ecdsa;Verifying signature;256;0.077667236328125
ecdsa;Key pair generation;256;0.0779573917388916
ecdsa;Key pair generation;256;0.07637548446655273
ecdsa;Signing message;256;0.10587477684020996
ecdsa;Verifying signature;256;0.08172893524169922
ecdsa;Key pair generation;256;0.0782461166381836
ecdsa;Key pair generation;256;0.07537102699279785
ecdsa;Signing message;256;0.10590505599975586
ecdsa;Verifying signature;256;0.08144021034240723
ecdsa;Key pair generation;256;0.07804679870605469
ecdsa;Key pair generation;256;0.0778355598449707
ecdsa;Signing message;256;0.10417532920837402
ecdsa;Verifying signature;256;0.08378386497497559
ecdsa;Key pair generation;256;0.07795023918151855
ecdsa;Key pair generation;256;0.07919526100158691
ecdsa;Signing message;256;0.10819602012634277
